"Reduz","Lote","Calo_Pe","Alojamento","Alojadas","Abatidas","% Mort","morte_perc","Idade","P.M.","densidade","C.A.","C.A.C.","viabilidade_lote","GPD","fator_prod","IEP","peso_total","pgto_ave_produtor","pag_ave","Custo Fomento","Custo Pinto","Custo Racao","Custo Medic","Custo FV","Custo Pega","Custo Integrado","controle_laudo","Custo Granja","Custo Plataforma","pgto_liquido_produtor","tipo_galpao","Pgto_Ave_Bon","vlr_med_peso","vlr_contribuicao_sind","IEL"
"#","7540","84,63","2025-11-08 00:00:00.000","40640","38529","5,19","5,19","44","3,382","12,7","1,604","1,564","94,81","76","454,33","274,1","130300","1,363816","1,516","0","0,8951","2,5329","0,0393","0","0","0,4483","N","3,9156","3,9156","58409,96","Convencional","NULL","0,047","0","16"
"#","7638","26,23","2025-11-15 00:00:00.000","20000","19376","3,12","3,12","45,64","3,433","13,33","1,622","1,57","96,88","75,22","449,27","276,97","66520","1,760159","1,6889","0","0,5731","2,8578","0,0061","0","0","0,4919","N","3,9289","3,9289","32724,51","Automatizado","0,2178","0,027","0","0"
"#","3963","54,31","2025-11-05 00:00:00.000","32000","29838","6,76","6,76","43,05","3,189","14,29","1,705","1,707","93,24","74,08","405,1","240,4","95160","1,570153","1,41","0","0,7923","2,8723","0,0368","0","0","0,4421","N","4,1435","4,1435","42071,58","","0,2171","0,07","0","21"
"#","1389","97,11","2025-10-28 00:00:00.000","28000","25520","8,86","8,86","44,16","3,277","12,44","1,757","1,74","91,14","74,21","384,93","223,25","83620","1,468397","1,33","0","0,7889","2,9358","0,0193","0","0","0,4059","N","4,1499","4,1499","33941,6","Dark","0,2","0,023","0","40"
"#","3995","26,67","2025-10-28 00:00:00.000","11200","10396","7,18","7,18","45,44","3,29","9,33","1,66","1,64","92,82","72,4","404,85","239,12","34200","1,418966","1,3488","0","0,4869","2,992","0,0249","0","0","0,41","N","3,9138","3,9138","14022","nao-automatizado","0,146","0,039","0","14"
"#","7729","47,06","2025-11-20 00:00:00.000","36200","34072","5,88","5,88","39,54","2,847","12,55","1,635","1,713","94,12","72","414,49","248,22","96990","1,320143","1,32","0","1,269","2,7708","0,0066","0","0","0,4637","N","4,5101","4,5101","44975,04","Dark","0,2289","0,014","0","0"
"#","7202","89,55","2025-11-12 00:00:00.000","23000","21104","8,24","8,24","47,04","3,262","13,11","1,703","1,689","91,76","69,35","373,64","218,18","68840","0,833794","1,2","0","1,136","2,8434","0,0195","0","0","0,3679","N","4,3668","4,3668","25324,8","Dark","0,2185","0,048","84,84","15"
"#","2838","52","2025-10-26 00:00:00.000","20200","19264","4,63","4,63","43,12","3,195","13,47","1,579","1,58","95,37","74,1","447,53","271,55","61540","1,546944","1,449","0","1,0996","2,5284","0,0412","0","0","0,4536","N","4,1228","4,1228","27913,54","","0,1579","0,065","0","20"
"#","4026","71,36","2025-11-03 00:00:00.000","31500","29970","4,86","4,86","41,35","2,935","13,13","1,564","1,623","95,14","70,98","431,78","261,45","87970","1,674233","1,231","0","0,8436","2,5811","0,0118","0","0","0,4194","N","3,8559","3,8559","36893,07","Dark","0,518","0,025","0","19"
"#","3976","40,86","2025-10-20 00:00:00.000","28000","26431","5,6","5,6","44,52","3,252","12,44","1,665","1,653","94,4","73,05","414,15","248,77","85947","1,545262","1,53","0","0","3,0004","0,0183","0","0","0,4705","N","3,4892","3,4892","40439,43","Dark","0,0793","0,036","0","20"
"#","368","32,19","2025-10-21 00:00:00.000","32500","31929","1,76","1,76","43,9","3,248","13,54","1,803","1,792","98,24","73,99","403,13","252,01","103690","0,833227","1,42","0","1,05","2,7885","0,1075","0","0","0,4373","P","4,3833","4,3833","45339,18","Dark","0,2869","0,13","0","35"
"#","4042","92,65","2025-11-07 00:00:00.000","41000","38705","5,6","5,6","41,95","3,076","13,4","1,676","1,704","94,4","73,33","413","248,1","119050","1,613015","1,5","0","1,1709","2,8609","0,0028","0","0","0,4877","P","4,5223","4,5223","58057,5","Dark","0,1878","0,019","0","18"
"#","6907","68,94","2025-10-27 00:00:00.000","34300","33348","2,78","2,78","43,27","2,872","13,4","1,74","1,813","97,22","66,37","370,85","229,41","95760","1,429092","1,45","0","0,8439","2,801","0,0706","0","0","0,505","N","4,2205","4,2205","48354,6","","0,0371","0,098","0","19"
"#","6941","8,93","2025-10-24 00:00:00.000","54000","50306","6,84","6,84","51","3,423","13,3","1,846","1,796","93,16","66,5","338,72","200,81","172216","1,74413","1,023","0","0,8999","2,9701","0,0709","0","0","0,2988","N","4,2397","4,2397","51463,04","Convencional","NULL","0,104","0","0"
"#","7184","12,59","2025-10-27 00:00:00.000","57200","55966","2,16","2,16","48","3,111","14,09","1,633","1,653","97,84","64,5","388,32","241,76","174096","1,501","1,531","0","0,943","2,6059","0,0872","0","0","0,4922","N","4,1283","4,1283","85683,95","Convencional","NULL","0,119","0","12"
